mood,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,0.161,0.722,0.696,0,0.0755,-11.095,0.0901,115.397
0,0.0365,0.629,0.686,2.37E-05,0.0709,-4.851,0.0626,91.05
0,0.0183,0.508,0.834,0,0.0732,-6.205,0.0386,139.131
0,0.228,0.685,0.623,0.00234,0.0295,-11.146,0.042,126.739
0,0.0754,0.837,0.592,0.000251,0.0671,-14.264,0.0671,125.686
0,0.16,0.627,0.843,0.000192,0.0554,-7.677,0.0952,106.817
0,0.301,0.801,0.757,8.25E-06,0.0708,-7.13,0.0369,109.366
0,0.116,0.624,0.803,1.15E-05,0.293,-7.985,0.0729,130.834
0,0.0466,0.843,0.656,0.0187,0.169,-11.184,0.0595,121.112
0,0.122,0.548,0.816,0,0.335,-4.209,0.0465,95.39
0,0.363,0.777,0.916,4.99E-06,0.102,-7.185,0.101,122.439
0,0.0723,0.744,0.611,0.000532,0.0692,-6.386,0.0333,114.991
0,0.000362,0.676,0.704,0.0709,0.139,-8.534,0.0329,129.594
0,0.29,0.478,0.678,0,0.577,-7.032,0.0364,151.466
0,0.0154,0.536,0.928,0.00134,0.2,-6.492,0.0589,136.258
0,0.488,0.712,0.775,0,0.7,-6.089,0.0572,134.902
0,0.221,0.645,0.598,3.53E-06,0.0721,-13.18,0.0335,105.929
0,0.00967,0.57,0.717,0,0.0833,-4.914,0.029,111.91
0,0.0694,0.531,0.818,0.0096,0.263,-5.358,0.0452,90.767
0,0.0674,0.749,0.699,0.00192,0.0763,-13.108,0.0371,128.904
0,0.0107,0.748,0.74,2.18E-05,0.101,-6.01,0.0484,121.004
0,0.114,0.5,0.681,4.01E-05,0.139,-9.556,0.0672,119.46
0,0.058,0.727,0.588,5.46E-06,0.0414,-9.568,0.0253,104.413
0,0.151,0.851,0.551,0,0.0827,-5.177,0.0396,131.922
0,0.27,0.674,0.794,2.47E-06,0.211,-7.361,0.0726,129.292
0,0.382,0.539,0.884,0.00166,0.76,-6.53,0.0403,100.812
0,0.192,0.612,0.738,0,0.0779,-6.648,0.0479,81.327
0,0.589,0.538,0.127,0.00017,0.238,-16.057,0.0284,62.829
0,0.214,0.541,0.822,0.00314,0.0521,-10.978,0.049,116.659
0,0.0987,0.822,0.74,1.48E-05,0.0686,-10.527,0.0522,105.875
0,0.000855,0.534,0.943,0.0264,0.0697,-5.898,0.0845,101.754
0,0.0961,0.321,0.462,0,0.102,-10.711,0.0346,116.782
0,0.534,0.519,0.772,1.21E-05,0.271,-6.784,0.0331,79.618
0,0.148,0.652,0.74,0.012,0.352,-13.469,0.0411,125.741
0,0.204,0.686,0.714,0,0.0592,-4.809,0.0287,126.736
0,0.194,0.653,0.809,0,0.165,-4.057,0.0474,92.213
0,0.432,0.601,0.532,6.25E-06,0.0925,-9.119,0.0286,136.571
0,0.0107,0.78,0.542,0.306,0.0869,-10.99,0.0464,111.271
0,0.0485,0.962,0.66,0,0.076,-5.096,0.061,126.016
0,0.0123,0.666,0.83,0,0.191,-5.715,0.0751,113.03
0,0.217,0.806,0.513,0,0.217,-6.208,0.0685,124.988
0,0.216,0.595,0.784,0,0.0608,-4.878,0.102,124.111
0,0.281,0.788,0.859,0,0.0424,-2.724,0.0856,141.02
0,0.0971,0.688,0.662,1.34E-06,0.172,-5.57,0.0441,115.106
0,0.326,0.682,0.72,0,0.148,-8.173,0.0381,117.003
0,0.197,0.676,0.786,0,0.0943,-4.529,0.0478,125.983
0,0.0297,0.776,0.808,0.000127,0.103,-4.501,0.117,123.988
0,0.0643,0.705,0.776,2.81E-06,0.0246,-6.096,0.0445,116.011
0,0.198,0.794,0.706,0,0.0536,-6.066,0.0382,116.032
0,0.181,0.686,0.538,3.13E-06,0.113,-8.026,0.0345,115.884
0,0.274,0.558,0.877,0,0.162,-3.392,0.145,99.988
0,0.0599,0.476,0.594,0,0.0785,-6.879,0.135,159.702
0,0.0863,0.667,0.827,0,0.0565,-5.631,0.0368,107.95
0,0.0481,0.733,0.886,1.81E-06,0.191,-1.856,0.0426,126.031
0,0.163,0.662,0.489,0,0.172,-7.067,0.0525,102.04
0,0.217,0.669,0.629,0,0.366,-5.018,0.0803,110.865
0,0.198,0.747,0.537,1.26E-05,0.18,-5.76,0.0413,97.056
0,0.131,0.333,0.637,1.80E-05,0.149,-4.904,0.0581,139.898
0,0.124,0.499,0.898,7.20E-06,0.0832,-4.181,0.124,120.04
0,0.0931,0.733,0.786,0.0013,0.1,-7.494,0.0422,102.999
0,0.114,0.732,0.85,2.02E-06,0.0388,-5.999,0.0444,124.024
0,0.0209,0.749,0.674,0,0.169,-5.128,0.0366,123.055
0,0.000618,0.592,0.749,0.00122,0.166,-6.165,0.0295,127.038
0,0.122,0.548,0.816,0,0.335,-4.209,0.0465,95.39
0,0.27,0.659,0.617,0,0.187,-5.862,0.0649,119.858
0,0.041,0.612,0.862,0,0.0907,-2.903,0.037,123.849
0,0.0783,0.761,0.695,0,0.14,-4.048,0.0886,118.004
0,0.0714,0.646,0.761,0,0.222,-2.557,0.0385,129.916
0,0.00515,0.654,0.787,0,0.144,-4.999,0.0502,123.978
0,0.196,0.673,0.704,0,0.0898,-8.056,0.36,86.919
0,0.00711,0.507,0.828,2.44E-05,0.261,-6.023,0.0449,178.032
0,0.194,0.728,0.636,2.57E-05,0.515,-5.824,0.0366,124.023
0,0.0332,0.789,0.711,0,0.0876,-4.248,0.041,112.985
0,0.0578,0.756,0.815,2.00E-05,0.387,-5.122,0.046,120.002
0,0.0512,0.692,0.883,0,0.228,-4.698,0.0582,122.984
0,0.137,0.697,0.875,0,0.28,-4.621,0.034,140.069
0,0.00178,0.721,0.763,0.000238,0.0945,-4.748,0.0382,117.981
0,0.0697,0.614,0.934,0,0.121,-3.709,0.07,116.001
0,0.00912,0.688,0.742,1.37E-06,0.186,-6.363,0.0496,110.026
0,0.0155,0.628,0.877,5.97E-06,0.113,-4.205,0.046,101.992
0,0.0343,0.645,0.786,3.57E-06,0.139,-5.337,0.0554,124.962
0,0.0148,0.569,0.85,0,0.245,-3.914,0.0369,122.042
0,0.141,0.66,0.667,5.26E-05,0.107,-6.87,0.0474,114.901
0,0.0132,0.521,0.877,0.0806,0.0929,-5.444,0.0683,180.007
0,0.0493,0.668,0.563,0,0.119,-6.433,0.0522,103.116
0,0.212,0.573,0.739,0,0.175,-5.455,0.0581,120.077
0,0.178,0.761,0.739,3.35E-06,0.23,-3.591,0.0369,118.997
0,0.021,0.582,0.889,0,0.687,-4.386,0.0491,121.977
0,0.068,0.929,0.67,0,0.318,-3.977,0.0488,120.935
0,0.0586,0.578,0.639,0,0.0944,-5.749,0.0374,108.045
0,0.412,0.799,0.419,0,0.203,-7.99,0.174,156.055
0,0.19,0.706,0.914,0,0.0886,-5.668,0.0615,124.03
0,0.213,0.617,0.756,0,0.152,-5.811,0.104,121.828
0,0.168,0.734,0.874,1.14E-05,0.0489,-3.158,0.0662,122.953
0,0.151,0.421,0.669,0,0.635,-4.724,0.127,175.788
0,0.00813,0.588,0.701,0,0.2,-6.39,0.0402,104.988
0,0.369,0.779,0.705,7.91E-06,0.124,-3.895,0.0344,101.022
0,0.0593,0.704,0.701,0,0.126,-5.44,0.0596,88.016
0,0.057,0.695,0.656,0,0.267,-6.038,0.0489,90.986
0,0.051,0.774,0.792,0,0.155,-4.021,0.0523,122.062
0,0.021,0.672,0.855,0,0.323,-3.764,0.0397,123.056
0,0.0636,0.659,0.801,0,0.341,-4.234,0.0435,105.991
0,0.321,0.677,0.696,0,0.42,-6.181,0.119,90.03
0,0.171,0.662,0.794,0,0.0883,-4.239,0.0533,104.951
0,0.0238,0.783,0.912,0,0.339,-3.713,0.243,98.025
0,0.00839,0.852,0.698,1.03E-06,0.0773,-7.206,0.0629,113.039
0,0.262,0.696,0.686,0,0.174,-6.113,0.0309,115.982
0,0.247,0.697,0.535,0,0.569,-6.504,0.068,82.959
0,0.011,0.555,0.879,0,0.298,-2.484,0.0983,113.852
0,0.0744,0.54,0.793,0,0.354,-4.379,0.0493,112.219
0,0.00614,0.737,0.846,0,0.0486,-4.51,0.22,87.981
0,0.0112,0.746,0.765,0,0.0936,-4.41,0.0993,114.044
0,0.0515,0.653,0.623,0,0.0869,-5.989,0.0938,175.884
0,0.00775,0.638,0.688,0,0.126,-4.056,0.0407,129.856
0,0.0531,0.7,0.904,8.03E-06,0.105,-4.03,0.0431,103.039
0,0.127,0.715,0.635,0,0.0862,-6.591,0.0791,112.887
0,0.0133,0.708,0.758,1.04E-05,0.418,-4.453,0.0367,101.017
0,0.0179,0.73,0.558,0,0.128,-6.535,0.0786,100.066
0,0.00088,0.735,0.694,0,0.0582,-5.258,0.0387,121.46
0,0.11,0.585,0.82,0,0.134,-4.428,0.0774,169.895
0,0.264,0.503,0.754,5.85E-05,0.297,-3.634,0.0424,116.524
0,0.0367,0.462,0.745,0,0.0795,-6.588,0.0699,100.042
0,0.101,0.747,0.829,0,0.168,-6.157,0.106,119.982
0,0.105,0.738,0.85,0,0.23,-3.049,0.0642,98.013
0,0.000817,0.611,0.88,1.01E-05,0.0598,-6.571,0.0378,144.996
0,0.155,0.756,0.54,0,0.0551,-5.456,0.125,108.274
0,0.164,0.796,0.694,0,0.0703,-3.979,0.234,98.005
0,0.0896,0.686,0.856,0,0.0648,-2.717,0.0426,123.997
0,0.267,0.81,0.788,0.000172,0.196,-3.663,0.0447,135.991
0,0.0119,0.548,0.721,0,0.216,-4.466,0.0472,177.918
0,0.0264,0.722,0.59,0,0.0793,-7.512,0.0435,104.931
0,0.092,0.827,0.73,1.35E-05,0.258,-5.324,0.0934,95.003
0,0.0948,0.686,0.83,1.33E-06,0.182,-4.437,0.0369,123.032
0,0.144,0.611,0.651,1.70E-05,0.105,-6.973,0.0589,122.983
0,0.00565,0.648,0.641,3.63E-06,0.109,-5.521,0.0389,184.021
0,0.131,0.862,0.753,2.01E-06,0.077,-5.356,0.0625,105.039
0,0.212,0.447,0.553,0,0.165,-4.817,0.0322,149.877
0,0.00124,0.47,0.709,0.00121,0.302,-4.563,0.0299,98.036
0,0.237,0.67,0.743,0,0.465,-4.993,0.0393,125.944
0,0.151,0.721,0.745,1.24E-06,0.372,-3.508,0.0366,90.988
0,0.0237,0.676,0.771,7.00E-06,0.102,-3.675,0.0483,99.048
0,0.00543,0.611,0.797,0.00137,0.26,-7.627,0.0533,120.041
0,0.122,0.548,0.816,0,0.335,-4.209,0.0465,95.39
0,0.317,0.667,0.759,0,0.443,-6.639,0.033,100.033
0,0.199,0.799,0.539,1.66E-05,0.165,-6.351,0.0421,136.948
0,0.631,0.731,0.442,0.000399,0.154,-11.341,0.185,124.962
0,0.0156,0.708,0.736,0,0.621,-5.597,0.0767,99.922
0,0.217,0.756,0.609,0.00474,0.096,-7.927,0.0544,117.023
0,0.41,0.669,0.822,9.52E-05,0.202,-4.721,0.0548,125.967
0,0.75,0.788,0.273,0,0.15,-15.789,0.679,77.398
0,0.00517,0.52,0.903,0,0.254,-5.497,0.042,74.988
0,0.256,0.668,0.679,0,0.118,-5.016,0.292,93.948
0,0.0364,0.455,0.66,0,0.181,-4.357,0.168,184.353
0,0.136,0.858,0.507,1.48E-06,0.101,-6.557,0.0383,140.03
0,0.223,0.871,0.513,0.000149,0.115,-16.848,0.299,95.965
0,0.128,0.778,0.559,0,0.399,-7.109,0.0776,129.989
0,0.122,0.609,0.754,0.00185,0.0727,-5.548,0.0421,125.076
0,0.042,0.686,0.541,0,0.0675,-4.993,0.0493,120.082
0,0.00099,0.558,0.553,0.076,0.174,-8.54,0.0238,95.978
0,0.0626,0.764,0.74,0.000231,0.156,-5.544,0.0291,119.989
0,0.0577,0.547,0.885,0,0.179,-3.532,0.0577,168.019
0,0.521,0.601,0.844,0,0.1,-5.366,0.293,79.844
0,0.0469,0.674,0.778,0,0.145,-5.367,0.0376,90.01
0,0.12,0.819,0.554,0,0.246,-5.714,0.191,95.023
0,0.46,0.758,0.574,0.00272,0.102,-6.889,0.0572,151.985
0,0.14,0.617,0.663,0,0.094,-5.978,0.301,193.998
0,0.213,0.658,0.746,4.09E-05,0.389,-4.915,0.24,84.626
0,0.223,0.792,0.554,0.00235,0.118,-8.273,0.104,100
0,0.221,0.774,0.473,0,0.222,-5.122,0.0569,97.953
0,0.674,0.746,0.679,0,0.117,-9.42,0.0642,120.995
0,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042
0,0.0837,0.639,0.546,0,0.122,-5.382,0.0407,122.179
0,0.0216,0.469,0.585,4.06E-06,0.724,-9.869,0.0596,80.082
0,0.199,0.873,0.495,0,0.0805,-5.446,0.0518,106.033
0,0.34,0.595,0.504,0,0.067,-9.355,0.0612,80.127
0,0.0136,0.739,0.756,0,0.37,-4.828,0.0394,110.028
0,0.117,0.866,0.399,0,0.0689,-10.938,0.0745,129.047
0,0.66,0.769,0.479,0,0.0914,-5.339,0.0385,96.051
0,0.0405,0.496,0.885,0,0.271,-2.481,0.0638,104.93
0,0.0998,0.493,0.581,0,0.0938,-8.19,0.29,137.22
0,0.00511,0.459,0.891,0,0.106,-5.057,0.0623,154.837
0,0.225,0.83,0.585,0.00209,0.0576,-5.802,0.0366,105.03
0,0.173,0.559,0.444,0,0.198,-9.174,0.101,87.279
0,0.256,0.52,0.761,4.96E-06,0.17,-3.093,0.0853,141.971
0,0.0907,0.561,0.82,0,0.175,-7.673,0.121,157.925
0,0.746,0.427,0.262,0,0.068,-8.541,0.0276,104.085
0,0.000203,0.217,0.669,0,0.284,-6.224,0.0375,147.848
0,0.808,0.535,0.448,1.25E-05,0.303,-7.759,0.0431,78.784
0,0.0536,0.688,0.732,0,0.145,-6.162,0.0618,97.703
0,0.00463,0.658,0.804,0,0.178,-5.735,0.0377,120.047
0,0.107,0.731,0.65,0,0.124,-5.286,0.271,154.968
0,0.128,0.811,0.647,0.000224,0.093,-6.467,0.043,117.014
0,0.00122,0.623,0.647,0,0.354,-5.438,0.04,107.987
0,0.146,0.522,0.765,0,0.0866,-5.395,0.193,180.065
0,0.256,0.682,0.919,0,0.442,-3.18,0.0875,95.982
0,0.234,0.447,0.589,0,0.139,-8.012,0.0659,85.682
0,0.0387,0.545,0.968,0.00325,0.331,-3.553,0.0853,169.965
0,0.00133,0.597,0.711,0,0.293,-5.624,0.0334,114.997
0,0.0384,0.72,0.791,0,0.157,-4.689,0.124,102.071
0,0.0116,0.596,0.869,0.173,0.0678,-11.97,0.037,109.902
0,0.099,0.615,0.699,0,0.132,-7.762,0.0759,150.065
0,0.00701,0.578,0.866,0,0.257,-3.804,0.0619,128.038
0,0.305,0.469,0.538,0.00012,0.37,-13.559,0.0571,196.605
0,0.0771,0.634,0.69,0,0.132,-7.804,0.052,94.988
0,0.0372,0.697,0.683,0,0.137,-2.881,0.117,96.133
0,0.0476,0.642,0.772,0,0.0646,-6.61,0.0848,153.995
0,0.0401,0.728,0.859,0,0.111,-5.237,0.137,65.043
0,0.000239,0.417,0.824,0.0545,0.0725,-7.36,0.105,157.92
0,0.00583,0.284,0.704,0.000115,0.0424,-7.276,0.186,191.702
0,0.0352,0.404,0.962,0,0.146,-2.901,0.0978,158.121
0,0.00301,0.471,0.924,0,0.313,-3.906,0.0586,154.961
0,0.000346,0.482,0.833,0,0.365,-5.611,0.0449,148.039
0,0.00146,0.514,0.73,9.54E-05,0.0897,-5.934,0.0598,171.005
0,0.0709,0.763,0.803,0.285,0.348,-3.713,0.0351,103.04
0,0.495,0.775,0.573,0,0.126,-4.933,0.0585,101.925
0,0.165,0.694,0.831,0.000892,0.25,-7.288,0.0301,125.901
0,0.271,0.62,0.573,0,0.0607,-11.893,0.0423,81.548
0,0.00761,0.729,0.771,0,0.087,-2.451,0.0725,125.011
0,0.0192,0.599,0.887,1.21E-06,0.3,-3.967,0.0984,170.918
0,0.0139,0.617,0.615,0,0.0897,-6.518,0.0567,125.898
0,0.00969,0.589,0.621,0.00104,0.181,-6.902,0.0468,140.03
0,0.0509,0.781,0.728,1.94E-06,0.257,-4.981,0.0621,102.99
0,0.0904,0.912,0.716,0,0.0491,-4.141,0.0697,94.981
0,0.0828,0.844,0.644,0,0.113,-6.273,0.0479,122.061
0,0.17,0.461,0.593,0,0.307,-4.954,0.0356,134.17
0,0.00261,0.762,0.7,1.56E-05,0.153,-6.021,0.0694,116.073
0,0.38,0.866,0.813,0,0.0779,-4.063,0.0554,121.998
0,0.0735,0.624,0.876,0,0.327,-3.374,0.1,99.943
0,0.205,0.626,0.88,0,0.128,-2.384,0.0504,95.079
0,0.037,0.791,0.862,2.19E-05,0.0814,-3.24,0.11,123.994
0,0.0403,0.836,0.544,0,0.0824,-5.975,0.0943,97.028
0,0.0102,0.668,0.725,0.000479,0.0561,-6.127,0.266,191.944
0,0.0654,0.421,0.873,0,0.123,-4.343,0.0564,84.786
0,0.00972,0.685,0.776,1.88E-06,0.0944,-3.806,0.043,136.013
0,0.00218,0.49,0.885,0,0.0741,-4.121,0.0396,166.996
0,0.0409,0.621,0.827,0,0.0815,-7.309,0.0454,99.979
0,0.00268,0.555,0.934,0,0.122,-5.04,0.113,144.874
0,0.461,0.641,0.652,0,0.267,-6.811,0.14,77.048
0,0.000185,0.279,0.742,0,0.593,-6.46,0.0898,189.868
0,0.576,0.541,0.401,0,0.164,-10.499,0.0365,152.943
0,0.00182,0.664,0.908,0,0.109,-4.806,0.0317,118.031
0,0.129,0.66,0.639,0,0.256,-5.364,0.223,173.994
0,0.0644,0.611,0.807,0,0.217,-4.12,0.0263,112.964
0,0.0536,0.617,0.711,1.65E-05,0.116,-8.797,0.0461,90.001
0,0.177,0.795,0.75,0,0.0875,-3.604,0.0526,115.005
0,0.00351,0.715,0.872,3.84E-05,0.107,-3.835,0.0509,93.043
0,0.128,0.574,0.629,0,0.271,-8.815,0.0363,153.119
0,0.849,0.323,0.405,0.000544,0.138,-8.533,0.0413,145.104
0,0.055,0.658,0.736,0,0.0934,-8.215,0.0328,91.977
0,0.523,0.749,0.661,0,0.124,-9.096,0.129,143.974
0,0.0574,0.409,0.765,0,0.0922,-5.674,0.104,97.383
0,0.104,0.378,0.666,0,0.113,-5.986,0.0803,79.797
0,0.546,0.779,0.257,0,0.287,-9.345,0.0594,125.237
0,0.00725,0.459,0.895,0,0.206,-3.126,0.0805,181.04
0,0.0257,0.705,0.609,0,0.0846,-4.897,0.0307,115.474
0,0.228,0.684,0.481,0,0.157,-10.305,0.0391,121.208
0,0.0717,0.516,0.764,0,0.115,-6.223,0.0366,148.021
0,0.0277,0.518,0.861,1.42E-06,0.249,-4.002,0.0673,141.986
0,0.00611,0.767,0.889,0,0.402,-2.988,0.0963,119.93
0,0.238,0.59,0.536,0,0.123,-8.977,0.214,119.958
0,0.0483,0.691,0.631,1.13E-05,0.104,-6.478,0.0368,92.004
0,0.21,0.448,0.838,0.000131,0.131,-5.257,0.0557,139.863
0,0.0222,0.617,0.832,1.92E-05,0.116,-4.192,0.0942,127.022
0,0.263,0.658,0.762,0,0.127,-3.028,0.0425,163.864
0,0.186,0.652,0.608,0,0.116,-7.996,0.0525,95.061
0,0.0192,0.494,0.723,0.0322,0.134,-4.559,0.0441,144.036
0,0.0265,0.669,0.78,1.63E-06,0.143,-4.287,0.053,139.945
0,0.0183,0.74,0.516,0,0.0558,-6.233,0.0507,139.918
0,0.154,0.61,0.893,4.41E-05,0.021,-3.681,0.0921,104.031
0,0.256,0.697,0.488,0,0.146,-9.651,0.109,90.048
0,0.0328,0.691,0.513,0,0.08,-9.261,0.041,109.942
0,0.213,0.604,0.62,0,0.0822,-9.29,0.0535,90.07
0,0.0338,0.663,0.861,0,0.082,-3.398,0.109,119.963
0,0.00786,0.637,0.69,0,0.124,-4.057,0.0405,129.857
0,0.297,0.633,0.673,0,0.206,-6.403,0.258,86.776
0,0.102,0.569,0.721,3.38E-05,0.205,-5.889,0.0375,180.06
0,0.0505,0.855,0.587,0.00714,0.105,-4.589,0.0336,111.97
0,0.47,0.848,0.854,2.29E-06,0.106,-3.305,0.0845,120.024
0,0.0371,0.764,0.705,1.94E-05,0.0943,-5.279,0.0278,101.003
0,0.201,0.892,0.714,0.000234,0.0521,-6.055,0.141,100.972
0,0.289,0.607,0.827,2.95E-06,0.718,-4.282,0.0484,100.062
0,0.238,0.817,0.703,0,0.102,-7.337,0.0409,124.898
0,0.768,0.561,0.431,1.42E-05,0.106,-8.81,0.0578,143.875
0,0.456,0.61,0.484,0,0.0715,-6.254,0.0252,100.005
0,0.0108,0.451,0.55,0,0.0737,-8.137,0.262,80.001
0,0.295,0.86,0.522,0,0.105,-7.322,0.0772,124.937
0,0.00259,0.493,0.836,0,0.221,-3.772,0.0597,174.949
0,0.183,0.878,0.525,0,0.0714,-6.832,0.0578,112.022
0,0.727,0.529,0.488,0,0.112,-9.593,0.0999,140.275
0,0.256,0.682,0.919,0,0.442,-3.18,0.0875,95.982
0,0.124,0.64,0.647,0,0.0801,-8.114,0.186,92.979
0,0.135,0.727,0.939,4.35E-05,0.151,-11.855,0.0369,113.33
0,0.0846,0.717,0.455,0,0.11,-8.303,0.0276,127.812
0,0.011,0.578,0.886,0,0.143,-4.348,0.0633,80.008
0,0.457,0.767,0.568,0,0.101,-7.782,0.0902,89.953
0,0.1,0.602,0.893,0,0.259,-6.555,0.0951,174.054
0,0.0842,0.763,0.541,0.0053,0.092,-7.965,0.0859,160.202
0,0.424,0.639,0.54,0,0.159,-10.181,0.0481,153.126
0,0.0421,0.726,0.554,0,0.106,-5.29,0.0917,169.999
0,0.474,0.757,0.508,0,0.121,-11.212,0.151,154.884
0,0.467,0.836,0.509,4.10E-06,0.0436,-13.668,0.0548,138.714
0,0.264,0.752,0.65,1.38E-06,0.313,-6.194,0.0334,141.16
0,0.009,0.726,0.787,0,0.0596,-2.494,0.0737,124.99
0,0.682,0.806,0.543,3.42E-05,0.11,-8.351,0.0616,100.033
0,0.0392,0.759,0.548,0,0.0828,-6.049,0.029,116.967
0,0.572,0.75,0.516,0,0.109,-8.02,0.172,97.985
0,0.211,0.635,0.673,0,0.176,-5.54,0.0546,129.975
0,0.383,0.795,0.632,0,0.078,-6.395,0.0981,94.984
0,0.103,0.801,0.458,0.256,0.104,-8.458,0.0694,100.008
0,0.113,0.456,0.579,0,0.12,-7.556,0.167,89.978
0,0.00223,0.699,0.76,0,0.132,-3.173,0.0677,129.996
0,0.394,0.771,0.666,8.00E-06,0.0894,-7.824,0.212,158.942
0,0.465,0.691,0.305,0,0.121,-12.31,0.0287,85.03
0,0.692,0.438,0.496,0,0.109,-7.283,0.0627,93.656
0,0.0971,0.688,0.662,1.34E-06,0.172,-5.57,0.0441,115.106
0,0.133,0.697,0.836,4.46E-06,0.0754,-5.005,0.0437,121.977
0,0.0148,0.569,0.85,0,0.245,-3.914,0.0369,122.042
0,0.0172,0.598,0.833,0,0.544,-6.333,0.0497,125.004
0,0.21,0.721,0.768,0.00843,0.262,-4.371,0.0685,124.076
0,0.019,0.598,0.559,0,0.17,-5.835,0.0387,122.066
0,0.0696,0.728,0.657,3.41E-06,0.0855,-5.329,0.042,122.079
0,0.111,0.698,0.774,1.85E-05,0.188,-5.128,0.0377,123.019
0,0.0514,0.733,0.96,0.00199,0.287,-3.597,0.0295,124.01
0,0.0453,0.813,0.848,1.51E-05,0.0696,-4.582,0.0534,123.978
